Person_ID,Month,Category,Type,Budgeted_Amount,Actual_Amount
P001,January,Salary,Fixed,40000,40000.0
P001,January,Rent,Fixed,20000,20000.0
P001,January,Groceries,Random,4102,4345.28
P001,January,Freelance,Variable,2070,2166.05
P001,January,Utilities,Variable,1488,1516.82
P001,January,Entertainment,Variable,1921,1788.83
P001,February,Salary,Fixed,40000,40000.0
P001,February,Rent,Fixed,20000,20000.0
P001,February,Groceries,Random,4330,4294.71
P001,February,Freelance,Variable,2172,2215.92
P001,February,Utilities,Variable,1451,1494.79
P001,February,Entertainment,Variable,2108,2306.11
P001,March,Salary,Fixed,40000,40000.0
P001,March,Rent,Fixed,20000,20000.0
P001,March,Groceries,Random,4491,4884.91
P001,March,Freelance,Variable,2185,2045.96
P001,March,Utilities,Variable,1576,1613.03
P001,March,Entertainment,Variable,2113,2123.46
P001,April,Salary,Fixed,40000,40000.0
P001,April,Rent,Fixed,20000,20000.0
P001,April,Groceries,Random,4747,4294.2
P001,April,Freelance,Variable,1858,1820.79
P001,April,Utilities,Variable,1487,1447.26
P001,April,Entertainment,Variable,1989,1826.14
P001,May,Salary,Fixed,40000,40000.0
P001,May,Rent,Fixed,20000,20000.0
P001,May,Groceries,Random,4957,4659.26
P001,May,Freelance,Variable,1854,2033.18
P001,May,Utilities,Variable,1430,1532.94
P001,May,Entertainment,Variable,1934,1806.56
P001,June,Salary,Fixed,40000,40000.0
P001,June,Rent,Fixed,20000,20000.0
P001,June,Groceries,Random,4166,3760.45
P001,June,Freelance,Variable,1888,2063.82
P001,June,Utilities,Variable,1541,1505.69
P001,June,Entertainment,Variable,2145,1972.4
P002,January,Salary,Fixed,40000,40000.0
P002,January,Rent,Fixed,20000,20000.0
P002,January,Groceries,Random,4339,4114.26
P002,January,Freelance,Variable,2063,1870.89
P002,January,Utilities,Variable,1505,1472.21
P002,January,Entertainment,Variable,1849,1909.1
P002,February,Salary,Fixed,40000,40000.0
P002,February,Rent,Fixed,20000,20000.0
P002,February,Groceries,Random,4001,3941.11
P002,February,Freelance,Variable,1853,1870.31
P002,February,Utilities,Variable,1609,1458.18
P002,February,Entertainment,Variable,2017,1996.73
P002,March,Salary,Fixed,40000,40000.0
P002,March,Rent,Fixed,20000,20000.0
P002,March,Groceries,Random,4201,4532.73
P002,March,Freelance,Variable,2069,2163.05
P002,March,Utilities,Variable,1570,1440.79
P002,March,Entertainment,Variable,2014,2022.39
P002,April,Salary,Fixed,40000,40000.0
P002,April,Rent,Fixed,20000,20000.0
P002,April,Groceries,Random,4701,4536.78
P002,April,Freelance,Variable,2007,2106.27
P002,April,Utilities,Variable,1666,1775.54
P002,April,Entertainment,Variable,2016,1927.67
P002,May,Salary,Fixed,40000,40000.0
P002,May,Rent,Fixed,20000,20000.0
P002,May,Groceries,Random,4379,4182.82
P002,May,Freelance,Variable,1956,2074.22
P002,May,Utilities,Variable,1364,1231.87
P002,May,Entertainment,Variable,1808,1906.44
P002,June,Salary,Fixed,40000,40000.0
P002,June,Rent,Fixed,20000,20000.0
P002,June,Groceries,Random,4647,4187.43
P002,June,Freelance,Variable,1938,1821.27
P002,June,Utilities,Variable,1691,1768.45
P002,June,Entertainment,Variable,2088,2132.25
P003,January,Salary,Fixed,40000,40000.0
P003,January,Rent,Fixed,20000,20000.0
P003,January,Groceries,Random,4489,4361.93
P003,January,Freelance,Variable,1840,1992.71
P003,January,Utilities,Variable,1500,1536.99
P003,January,Entertainment,Variable,1832,1672.09
P003,February,Salary,Fixed,40000,40000.0
P003,February,Rent,Fixed,20000,20000.0
P003,February,Groceries,Random,4406,4554.78
P003,February,Freelance,Variable,2092,2188.07
P003,February,Utilities,Variable,1659,1584.25
P003,February,Entertainment,Variable,1834,1823.81
P003,March,Salary,Fixed,40000,40000.0
P003,March,Rent,Fixed,20000,20000.0
P003,March,Groceries,Random,4612,5047.11
P003,March,Freelance,Variable,1930,2030.66
P003,March,Utilities,Variable,1517,1436.9
P003,March,Entertainment,Variable,2197,2194.27
P003,April,Salary,Fixed,40000,40000.0
P003,April,Rent,Fixed,20000,20000.0
P003,April,Groceries,Random,4392,4577.05
P003,April,Freelance,Variable,2145,1941.4
P003,April,Utilities,Variable,1478,1339.49
P003,April,Entertainment,Variable,2030,2020.0
P003,May,Salary,Fixed,40000,40000.0
P003,May,Rent,Fixed,20000,20000.0
P003,May,Groceries,Random,4095,4255.13
P003,May,Freelance,Variable,2030,1993.62
P003,May,Utilities,Variable,1470,1382.7
P003,May,Entertainment,Variable,1812,1658.7
P003,June,Salary,Fixed,40000,40000.0
P003,June,Rent,Fixed,20000,20000.0
P003,June,Groceries,Random,4698,4881.02
P003,June,Freelance,Variable,2083,2262.01
P003,June,Utilities,Variable,1344,1289.07
P003,June,Entertainment,Variable,1933,1916.2
P004,January,Salary,Fixed,40000,40000.0
P004,January,Rent,Fixed,20000,20000.0
P004,January,Groceries,Random,4619,4329.45
P004,January,Freelance,Variable,2085,2244.83
P004,January,Utilities,Variable,1427,1514.74
P004,January,Entertainment,Variable,2147,2085.29
P004,February,Salary,Fixed,40000,40000.0
P004,February,Rent,Fixed,20000,20000.0
P004,February,Groceries,Random,4189,3862.3
P004,February,Freelance,Variable,2176,2240.27
P004,February,Utilities,Variable,1420,1510.32
P004,February,Entertainment,Variable,2032,1952.66
P004,March,Salary,Fixed,40000,40000.0
P004,March,Rent,Fixed,20000,20000.0
P004,March,Groceries,Random,4709,4719.12
P004,March,Freelance,Variable,1936,1930.13
P004,March,Utilities,Variable,1524,1408.13
P004,March,Entertainment,Variable,1971,1870.13
P004,April,Salary,Fixed,40000,40000.0
P004,April,Rent,Fixed,20000,20000.0
P004,April,Groceries,Random,4826,4655.36
P004,April,Freelance,Variable,1895,1917.02
P004,April,Utilities,Variable,1479,1438.66
P004,April,Entertainment,Variable,1851,1757.29
P004,May,Salary,Fixed,40000,40000.0
P004,May,Rent,Fixed,20000,20000.0
P004,May,Groceries,Random,4806,4803.36
P004,May,Freelance,Variable,1912,1777.43
P004,May,Utilities,Variable,1380,1315.63
P004,May,Entertainment,Variable,1801,1801.96
P004,June,Salary,Fixed,40000,40000.0
